REG_HOLD_RISK,FM_UNMET_NEED,CURRENT_BALANCE,LAST_GPA,PREV_GPA,WI_GRADE_COUNT,DFW_GRADE_COUNT,FIRST_GENERATION_RISK,HIGH_SCHOOL_GPA
0,,0,3.67,4,0,0,0,''
0,,0,4,4,1,1,0,''
0,,0,3.665,3.665,0,0,1,'2.60'
0,,0,,,0,0,0,'3.87'
0,0,0,4,4,0,0,0,''
0,,0,3.6,3.333333333,1,11,0,'1.96'
0,,0,4,4,0,0,0,''
0,,0,4,0,5,5,0,''
0,,0,4,4,0,0,0,''
0,,0,4,,0,0,0,''
0,,0,4,3.67,0,0,0,''
0,,0,4,4,0,0,0,''
0,,0,3.556666667,3.666666667,0,0,0,''
0,,0,4,3.665,0,0,0,''
0,,0,3.443333333,2.556666667,0,0,0,'3.05'
0,,0,3.099,2.933,0,0,1,'0.00'
0,,100,4,4,1,1,0,''
0,,0,0,3,2,6,0,'0.00'
0,,0,3.67,4,0,0,0,'0.00'
0,,0,0,0,11,8,0,'3.26'
0,,0,4,4,0,0,0,''
0,,0,4,4,0,0,0,''
0,,0,4,4,1,0,0,''
0,,0,4,4,12,5,0,'3.12'
0,8114,0,0,3.835,3,6,0,'2.78'
0,0,0,4,4,0,0,0,''
0,,838.66,4,4,1,0,0,'0.00'
0,,0,1.5,2,2,5,1,''
0,,0,4,4,0,0,0,''
0,1485,0,2.250833333,1.776666667,0,2,0,'2.59'
0,,0,4,4,0,0,0,''
0,,0,4,4,0,0,1,'3.97'
0,,0,2.758571429,2.726363636,0,0,0,''
0,,0,2.625,2.44,2,11,0,'0.00'
0,,0,3.67,3.066,4,14,0,'2.24'
0,,0,0,,0,0,0,''
1,,2174,0,3.67,6,4,1,''
0,,0,3.736,4,1,0,0,'2.79'
0,,0,3.67,3.67,0,0,0,'3.20'
0,,0,4,4,0,0,0,''
0,,0,3.5,,0,0,0,'2.76'
0,19357,237.33,4,3.89,0,1,0,'0.00'
0,,817.5,4,3.67,2,0,0,'0.00'
0,,0,3,0,0,1,0,''
0,,0,4,3.67,0,0,1,'3.11'
0,,0,4,4,0,0,0,''
1,1716,376,2,1.665,0,4,0,'3.0'
0,,0,3.5,3.666666667,3,7,0,''
0,3822,0,4,3.486153846,0,15,1,'3.0'
1,,2323,1.11,4,4,7,1,'2.39'
0,,0,0,0,1,0,0,'3.37'
0,,0,,,0,2,0,'2.981'
0,,0,3.67,3.67,0,6,0,'3.5'
0,,0,4,4,0,0,1,'3.5'
0,253,0,0,0,4,5,0,'2.95'
0,,0,3.336666667,2.5,0,0,0,''
0,,0,0,3.33,2,2,1,'2.44'
0,0,0,3.67,4,0,0,0,''
0,,0,3.666666667,3.666666667,0,3,1,''
0,,0,,,0,0,0,''
0,,0,4,3.814444444,0,0,0,'3.96'
0,,0,4,4,0,0,0,'2.91'
0,,0,3.67,3.67,1,8,0,'2.93'
0,,0,4,3.868,2,10,0,'2.47'
0,0,2322.33,4,4,2,0,1,'3.13'
0,,0,2.428571429,3.089333333,0,1,0,'0'
0,,0,4,3.67,0,0,0,'3.37'
0,13070,0,3.25,3.666666667,1,2,0,'3.43'
0,,0,0,3.67,7,3,0,''
0,,0,4,4,0,0,0,''
1,,1340.8,0,1.776666667,4,10,1,''
0,,0,3.029090909,3.642666667,1,15,0,'3.47'
0,,1023.91,4,3.905714286,5,6,0,'2.56'
0,0,391.71,0,4,3,3,1,'3.7'
1,0,1939,4,3.665,0,0,1,'3.5'
0,,0,2.475714286,3.113333333,2,7,0,''
0,,0,0,2,0,0,0,''
0,,0,4,4,2,2,0,'3.58'
0,,0,0,3,0,1,0,''
0,,0,0,4,2,0,0,''
0,,0,3.85,4,0,0,0,''
0,,0,3,1.835,1,4,0,''
0,,0,0,2.58,0,1,0,''
0,,0,3,3.5,3,1,0,''
0,,0,4,4,1,0,0,''
0,,0,4,4,0,0,1,'2.53'
0,,0,4,4,3,3,0,''
0,,0,,,0,0,0,'2.60'
0,,0,2.67,2.67,2,4,0,''
0,,0,4,4,1,1,0,'3.4'
0,,0,3,0,14,28,0,'2.89'
0,,0,4,4,0,0,0,''
1,7866.4,587.6,1.666666667,0.536,8,12,1,''
0,,0,3.732,4,3,6,0,'2.83'
0,0,629.5,4,4,0,0,0,'3.85'
0,,0,0,4,1,1,0,''
0,,0,4,4,0,0,0,''
0,13378,38.33,4,2.83,0,2,0,''
1,,720,2.443333333,3.78,6,16,0,'2.74'
0,,0,0,4,0,0,0,''
0,,0,4,3.83,0,0,0,''
0,-6544,0,4,4,0,0,0,''
0,,0,,,0,0,0,'3.79'
0,,0,3.08,3.58,0,0,0,'3.71'
0,,0,,,0,0,0,'2.83'
0,,0,4,4,1,1,0,''
0,,0,4,4,0,0,0,''
0,,0,4,4,0,0,0,''
0,,0,0,4,3,1,0,'0.00'
0,,0,4,4,0,0,0,''
1,,1171.6,0,0,1,3,0,'2.54'
0,-197,0,4,4,1,1,1,'0'
0,,0,4,4,0,0,0,''
0,,0,3.333333333,3.333333333,6,11,0,'2.41'
0,12385,1000,4,3.665,0,0,0,''
0,,0,4,4,0,0,0,''
0,,0,4,4,2,2,0,'0.00'
0,,0,3.11,4,0,0,0,'3.90'
0,,0,4,4,0,0,0,''
0,9.5,0,4,4,0,0,1,'1.57'
1,,1338.4,3.333333333,2.048571429,1,15,1,''
0,,0,3.67,4,0,0,0,''
0,,0,0,2,10,6,0,'3.70'
0,,0,0,4,3,1,0,''
0,7180,0,3.78,4,0,0,1,''
0,7372,0,2.665,2.335,0,2,0,'0.00'
0,,0,3.67,4,3,1,0,'0.00'
0,9879,0,4,4,2,3,1,'3.80'
0,,0,2.93,2.57,8,6,0,'3.47'
0,-954,0,,,0,0,0,'2.08'
0,,0,4,4,0,0,1,''
0,17008,0,4,3.33,1,0,0,''
0,,0,3.33,4,0,0,1,'0.00'
0,,0,4,4,0,0,0,''
0,,0,2.67,3,0,0,0,'0.00'
0,1958,0,3.33,3.67,0,0,0,''
0,,0,,,0,0,0,'3.47'
0,,0,4,4,0,0,0,''
0,,0,4,4,0,0,0,''
0,,0,4,4,0,0,0,''
0,,418.3,2.5,2.11,1,4,1,'3.56'
0,,0,,,0,0,0,'3.83'
0,,0,3.33,4,0,0,1,''
0,,0,,,0,0,0,''
0,,0,0,1.666666667,3,9,1,'3.46'
1,,451,4,4,0,0,0,''
0,,0,4,3.67,1,1,0,'3.52'
0,7244,0,3,4,2,5,0,''
0,,0,2.33,3.261111111,2,2,1,'3.16'
0,,50,,,0,1,0,''
0,,0,3.67,3,0,0,0,'2.54'
0,0,0,4,2,0,4,0,'2.6'
0,,0,4,4,0,0,0,''
0,,0,4,4,0,0,0,''
0,,0,4,4,1,0,0,''
0,,0,4,4,0,0,0,''
0,,0,3.67,,0,0,1,'3.5'
0,5448,0,4,4,0,0,0,'3.57'
0,,0,,,0,0,0,''
0,7191.38,0,0.665,0,3,11,1,''
1,,1507,2.33,3,1,1,0,''
0,,0,4,3.665,0,0,0,''
0,,0,4,4,0,4,0,'3.67'
0,,0,4,4,0,0,0,''
1,,658.98,3,2.67,1,8,1,'2.44'
0,,0,4,4,0,0,0,''
0,,0,4,4,0,0,0,'3.73'
0,6613,0,0,3.5,0,0,0,''
0,0,0,3.6675,,0,0,1,''
0,,0,4,4,0,0,0,'3.90'
0,,0,4,0,1,0,0,''
0,,0,4,4,0,0,0,''
0,,0,4,4,6,3,0,''
0,,0,3.67,3,1,0,0,''
0,,984,4,4,0,0,0,'3.70'
0,-903,0,4,3.59,0,0,0,'3.62'
0,,0,4,3.89,0,0,0,''
0,,0,,,0,0,1,''
0,7172.8,0,3.113333333,3,10,13,0,''
0,-7248,0,,,0,0,0,''
0,,0,0,0,1,0,0,''
0,,0,4,4,6,15,0,''
0,,0,2,0,6,9,0,''
0,,0,4,4,0,0,0,''
1,24721,983,4,4,0,0,1,''
0,,0,4,0,2,7,0,''
0,,0,3.21,3.58,0,0,0,'3.80'
0,,0,0,4,0,0,0,''
0,,0,3.336666667,3.89,1,5,0,''
0,,0,4,4,1,1,0,''
0,,0,3,2,2,12,1,''
0,,0,4,4,2,1,0,'2.77'
0,,0,4,0,0,0,0,''
0,,414.66,4,4,2,14,1,''
0,,0,0,4,0,0,0,''
0,16175,0,4,4,3,7,0,''
0,,0,4,4,0,0,0,''
0,,0,4,4,1,0,0,''
0,,0,4,0,1,1,0,''
0,,0,4,0,1,1,0,'4.00'
0,,0,0,0,3,1,0,'2.84'
0,8348,30,4,3.67,0,0,0,'2.72'
0,,0,2.67,2.89,1,1,0,'2.91'
0,,0,0,3.33,4,11,0,''
0,,0,0,4,1,0,1,''
0,,0,4,4,0,0,0,'2.29'
0,,0,4,4,0,0,0,'3.37'
0,,200,0,3.5,5,14,0,'0.00'
0,,0,0,2.75,5,10,0,'3.61'
0,,0,3.33,4,1,0,0,''
0,,0,0,0,1,0,0,''
0,,0,0,3,0,0,0,'0.00'
0,,0,0,0,4,5,0,''
1,,1266.45,1.165,0,0,2,0,'0.00'
0,,0,4,4,0,0,0,''
0,,0,4,4,1,0,1,'0.00'
1,738,826.6,0,3,1,6,1,'0.00'
0,6369.5,0,1,3.835,1,12,1,''
1,,0,0,3.665,0,0,0,'1.14'
0,14555,-2,0,2.666666667,21,40,0,'0.00'
0,,0,,,0,0,0,''
0,,281,4,0,0,0,0,''
0,7432,0.5,4,4,0,1,0,'0.00'
0,19144,0,4,3.89,2,8,0,''
0,,0,4,2.964444444,2,8,0,'3.35'
0,0,0,3.553333333,3.776666667,0,0,1,'2.47'
0,,50,3,1,1,4,0,'2.9'
0,,0,4,3.67,0,0,0,''
0,5289,0,1,1,3,11,0,''
0,8548.4,0,3.67,3.665,0,1,0,''
0,,0,2,2,1,1,0,'0.00'
0,,0,4,4,0,0,0,'0.00'
0,,160,0,4,0,0,0,''
0,,80,,,0,0,0,''
0,,0,3.556666667,,0,0,1,'2.53'
0,,50,,,0,7,0,''
1,,2424.2,2.5,2.67,5,43,0,''
0,,0,3.335,3.665,0,0,1,''
0,0,0,4,4,0,0,0,''
0,,0,4,4,0,0,0,''
0,,1227.46,3.835,3.666666667,1,11,0,'3.08'
0,,596,0,4,2,2,0,''
0,,0,3.25,3,0,0,0,''
1,4509,2800,0,2.33,6,15,0,''
0,,0,,,0,0,0,''
0,0,431.66,4,4,0,0,0,''
0,,0,3.556666667,2.665,4,6,0,'3.20'
0,,120,4,4,4,7,0,'3.33'
0,2091,0,4,4,0,0,1,'2.98'
0,11249,0,3.6,2.67,2,6,1,''
0,,0,3.67,3,0,0,0,''
1,0,3161.35,4,3.5,1,2,0,'2.66'
0,,0,4,4,0,8,1,''
0,13681,0,,,0,0,0,''
0,12834,0,3.776666667,2,0,16,0,''
0,,0,0,0,3,4,0,'3.75'
0,,591.66,3.67,4,1,1,0,''
0,,0,4,4,0,0,0,''
0,,0,4,0,0,0,0,''
0,,0,0,4,0,0,0,''
0,,0,4,4,0,0,0,''
0,,0,3.67,3,1,6,0,'2.74'
0,,0,3.67,4,0,0,0,''
0,,0,0,0,5,16,0,''
0,377,0,3.17,3.665,0,5,0,'3.11'
0,,0,3.858571429,3.8325,2,2,0,''
0,,0,3.8075,3.0525,0,2,0,'2.75'
0,,0,4,0,0,0,0,''
0,0,0,4,4,0,11,0,''
0,,0,3,3.55,0,0,0,'3.55'
0,,105,4,4,0,0,0,''
0,,0,2.5,1.446666667,3,15,0,''
0,,0,,,0,0,0,''
0,,0,3.67,3.835,0,0,0,''
0,0,32,1.835,3.71,1,7,0,''
0,,0,1,0,0,1,0,''
0,13012,570.4,3.835,4,6,11,0,''
0,,0,2,2.335,0,0,0,'3.17'
0,,0,,,0,0,0,''
0,,0,4,4,1,0,0,''
0,,0,4,4,0,0,0,''
0,,0,4,4,0,0,0,''
1,,752.8,0,2.33,1,2,0,''
0,,0,4,4,0,0,0,'2.44'
0,,0,0,2.67,1,5,0,'2.60'
0,,0,4,4,0,0,0,''
0,,0,3.67,4,0,0,1,''
0,,0,0,2.67,1,3,0,''
0,,0,4,4,0,0,0,''
0,,0,4,4,0,0,0,''
0,,0,4,4,0,0,0,''
0,,0,3.7525,4,0,0,0,'2.88'
0,,0,4,0,1,7,0,''
0,,0,3.89,4,2,4,0,'3.81'
0,,0,2.67,3.67,0,0,0,''
0,0,2886.5,,,0,0,0,''
0,,0,4,4,0,0,0,''
0,0,0,4,4,0,0,0,''
0,,0,4,4,0,0,0,''
0,0,0,3,4,2,1,0,'3.77'
0,,0,4,3,0,0,0,''
0,,22.5,0,0,11,10,0,''
1,10255.2,2105.3,0,2.907142857,11,23,0,'3.50'
0,,0,4,4,2,0,0,''
0,5378,254.33,1.33,0.5,4,15,1,'2.95'
0,-5000,0,4,3.78,1,8,0,'2.95'
0,,0,4,4,0,0,0,''
0,,0,4,4,0,0,0,''
0,6749,0,2.835,3,2,5,0,'1.93'
1,,863,0,0,39,38,0,''
0,,0,0.954285714,0,9,20,0,''
0,199.3,23,3.37,3.272727273,2,1,0,'2.10'
0,0,0,0,4,0,0,0,''
0,,17.25,0,3.223333333,1,5,0,''
0,1734,0,4,3.665,6,6,1,''
0,,0,3.1,3.33,2,0,0,'0.00'
0,,0,0,4,0,0,1,'2.80'
0,,0,3.67,3.835,1,1,0,'3.47'
0,,0,3.89,4,0,0,0,''
0,,0,3,4,0,0,0,''
1,,1411,0,0,11,25,0,''
0,,0,3.776666667,4,0,0,0,''
0,,0,4,4,1,1,0,''
0,,0,4,4,1,1,1,''
0,,0,0,0,2,0,0,''
0,16586,0,3.776666667,4,2,3,0,'2.93'
0,,18,4,0,0,0,0,'2.79'
0,,0,,,0,0,0,'0.00'
0,0,0,3.835,4,0,0,1,'3.65'
0,,0,4,4,0,0,0,''
